S,I,R,time,iter 
747,0,3464,90,3
747,0,3464,91,3
747,0,3464,92,3
747,0,3464,93,3
747,0,3464,94,3
747,0,3464,95,3
747,0,3464,96,3
747,0,3464,97,3
747,0,3464,98,3
747,0,3464,99,3
747,0,3464,100,3
747,0,3464,101,3
747,0,3464,102,3
747,0,3464,103,3
747,0,3464,104,3
747,0,3464,105,3
747,0,3464,106,3
747,0,3464,107,3
747,0,3464,108,3
747,0,3464,109,3
747,0,3464,110,3
747,0,3464,111,3
747,0,3464,112,3
747,0,3464,113,3
747,0,3464,114,3
747,0,3464,115,3
747,0,3464,116,3
747,0,3464,117,3
747,0,3464,118,3
747,0,3464,119,3
747,0,3464,120,3
747,0,3464,121,3
747,0,3464,122,3
747,0,3464,123,3
747,0,3464,124,3
747,0,3464,125,3
747,0,3464,126,3
747,0,3464,127,3
747,0,3464,128,3
747,0,3464,129,3
747,0,3464,130,3
747,0,3464,131,3
747,0,3464,132,3
747,0,3464,133,3
747,0,3464,134,3
747,0,3464,135,3
747,0,3464,136,3
747,0,3464,137,3
747,0,3464,138,3
747,0,3464,139,3
747,0,3464,140,3
747,0,3464,141,3
747,0,3464,142,3
747,0,3464,143,3
747,0,3464,144,3
747,0,3464,145,3
747,0,3464,146,3
747,0,3464,147,3
747,0,3464,148,3
747,0,3464,149,3
747,0,3464,150,3
747,0,3464,151,3
