area_0,area_1,area_2,time,iter 
25,-58,33,112,6
25,-58,33,113,6
25,-58,33,114,6
25,-58,33,115,6
25,-58,33,116,6
25,-58,33,117,6
25,-58,33,118,6
25,-58,33,119,6
25,-58,33,120,6
25,-58,33,121,6
25,-58,33,122,6
25,-58,33,123,6
25,-58,33,124,6
25,-58,33,125,6
25,-58,33,126,6
25,-58,33,127,6
25,-58,33,128,6
25,-58,33,129,6
25,-58,33,130,6
25,-58,33,131,6
25,-58,33,132,6
25,-58,33,133,6
25,-58,33,134,6
25,-58,33,135,6
25,-58,33,136,6
25,-58,33,137,6
25,-58,33,138,6
25,-58,33,139,6
25,-58,33,140,6
25,-58,33,141,6
25,-58,33,142,6
25,-58,33,143,6
25,-58,33,144,6
25,-58,33,145,6
25,-58,33,146,6
25,-58,33,147,6
25,-58,33,148,6
25,-58,33,149,6
25,-58,33,150,6
25,-58,33,151,6
5,13,23,0,7
5,13,23,1,7
6,15,31,2,7
7,20,38,3,7
8,23,46,4,7
9,29,62,5,7
11,35,76,6,7
14,43,90,7,7
21,52,106,8,7
22,58,129,9,7
26,64,153,10,7
26,59,149,11,7
28,65,163,12,7
26,70,183,13,7
25,79,203,14,7
25,84,222,15,7
26,82,243,16,7
28,90,264,17,7
27,90,280,18,7
32,99,295,19,7
39,99,309,20,7
41,99,332,21,7
42,112,346,22,7
44,116,364,23,7
43,121,377,24,7
47,122,381,25,7
49,126,401,26,7
49,129,403,27,7
48,129,411,28,7
48,122,402,29,7
43,124,396,30,7
40,118,362,31,7
31,102,339,32,7
21,95,317,33,7
15,80,295,34,7
7,69,264,35,7
-1,53,226,36,7
-7,39,196,37,7
-15,28,164,38,7
-22,17,141,39,7
-31,6,117,40,7
-31,2,114,41,7
-31,0,104,42,7
-31,-6,89,43,7
-31,-8,79,44,7
-31,-9,74,45,7
-31,-10,69,46,7
-31,-11,62,47,7
-31,-12,61,48,7
-31,-12,59,49,7
-31,-12,59,50,7
-31,-12,52,51,7
-31,-13,54,52,7
-31,-13,54,53,7
-31,-13,53,54,7
-31,-13,55,55,7
-31,-13,56,56,7
-31,-13,54,57,7
-31,-13,53,58,7
-31,-13,53,59,7
-31,-14,53,60,7
-31,-14,53,61,7
-31,-14,53,62,7
-31,-14,53,63,7
-31,-14,53,64,7
-31,-14,51,65,7
-31,-14,51,66,7
-31,-14,50,67,7
-31,-14,51,68,7
-31,-14,52,69,7
-31,-14,53,70,7
-31,-14,54,71,7
-31,-14,53,72,7
-31,-14,54,73,7
-31,-14,54,74,7
-31,-14,55,75,7
-31,-14,54,76,7
-31,-14,54,77,7
-31,-14,53,78,7
-31,-14,52,79,7
-31,-14,50,80,7
-31,-14,49,81,7
-31,-14,48,82,7
-31,-14,47,83,7
-31,-14,46,84,7
-31,-14,45,85,7
-31,-14,45,86,7
-31,-14,45,87,7
-31,-14,45,88,7
-31,-14,45,89,7
-31,-14,45,90,7
-31,-14,45,91,7
-31,-14,45,92,7
-31,-14,45,93,7
-31,-14,45,94,7
-31,-14,45,95,7
-31,-14,45,96,7
-31,-14,45,97,7
-31,-14,45,98,7
-31,-14,45,99,7
-31,-14,45,100,7
-31,-14,45,101,7
-31,-14,45,102,7
-31,-14,45,103,7
-31,-14,45,104,7
-31,-14,45,105,7
-31,-14,45,106,7
-31,-14,45,107,7
-31,-14,45,108,7
-31,-14,45,109,7
